"","GID_2","NAME_2","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm2","pop_risk_UC_adm2","pop_risk_LC_adm2","total_pop"
"2373","NGA.20.38_1","Tarauni",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2374","NGA.20.39_1","Tofa","0_5","mea",0.763802881033159,0.792010597393724,0.733205137977862,6226.95991041867,5483.30850726012,7033.62055127674,26363.4033203125
"2375","NGA.20.39_1","Tofa","5_10","mea",0.923630542478258,0.934389125547776,0.911271546877194,1641.67361978081,1410.40208028585,1907.3483764658,21496.4682617188
"2376","NGA.20.39_1","Tofa","10_15","mea",0.978682203581289,0.982887446607329,0.973458723328846,359.798853412522,288.823336554589,447.960038965569,16877.86328125
"2377","NGA.20.39_1","Tofa","0_5","dip",0.573382445913352,0.605942064828415,0.540222509696052,11247.0906419115,10388.7082764981,12121.299414484,26363.4033203125
"2378","NGA.20.39_1","Tofa","5_10","dip",0.730882424412005,0.754308801638543,0.706103792550317,5785.07742229803,5281.49304776072,6317.73049568163,21496.4682617188
"2379","NGA.20.39_1","Tofa","10_15","dip",0.846076837212006,0.862818240552251,0.827691743328505,2597.89409735335,2315.33498064043,2908.19519833202,16877.86328125
"2380","NGA.20.40_1","Tsanyawa","0_5","mea",0.757609208817918,0.787001017687992,0.72573961323435,13565.6817213417,11920.7350531887,15349.3005963252,55966.1596679688
"2381","NGA.20.40_1","Tsanyawa","5_10","mea",0.922622562678052,0.933804782165491,0.909727653337359,3345.00921683901,2861.60438275836,3902.45324817145,43229.7751464844
"2382","NGA.20.40_1","Tsanyawa","10_15","mea",0.978821691692772,0.983164840661264,0.973373479974467,716.717623036494,569.736506318657,901.096341860363,33842.0620117188
"2383","NGA.20.40_1","Tsanyawa","0_5","dip",0.573108187881276,0.60622081117447,0.539380459465927,23891.495317985,22038.3089557328,25779.1067517163,55966.1596679688
"2384","NGA.20.40_1","Tsanyawa","5_10","dip",0.734102732418429,0.757724050915577,0.709072935158595,11494.6790896159,10473.5348023207,12576.7115971206,43229.7751464844
